department,link,location,name
Giáo dục / Đào tạo,https://1900.com.vn/tong-quan/cong-ty-co-phan-tu-van-giao-duc-va-dao-tao-set-du-hoc-set-7488,Hồ Chí Minh,Du Học Set
Du học,https://1900.com.vn/tong-quan/pal-tech-10284,Hồ Chí Minh,PAL TECH
Y tế / Chăm sóc sức khỏe,https://1900.com.vn/tong-quan/cong-ty-co-phan-vacxin-viet-nam-chi-nhanh-tphcm-13662,Hồ Chí Minh,Vacxin
Du lịch,https://1900.com.vn/tong-quan/cong-ty-co-phan-dich-vu-du-lich-amp-thuong-mai-tst-10312,Hồ Chí Minh,TST tourist
Sản xuất / Vận hành sản xuất,https://1900.com.vn/tong-quan/cong-ty-tnhh-inox-thai-an-4795,Hưng Yên,Thái An
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-co-phan-cong-nghe-getfly-viet-nam-cn-hcm-15791,Hồ Chí Minh,Công nghệ Getfly Việt Nam
Điện / Điện tử / Điện lạnh,https://1900.com.vn/tong-quan/cong-ty-sai-gon-allied-technologies-11875,Hồ Chí Minh,ALLIED TECHNOLOGIES
Bán hàng/ Kinh doanh,https://1900.com.vn/tong-quan/cong-ty-cp-4handy-group-2577,Hà Nội,4HANDY GROUP - ABBY
Dệt may / Da giày / Thời trang,https://1900.com.vn/tong-quan/motives-vietnam-corporation-7455,Hồ Chí Minh,MOTIVES VIETNAM CORPORATION
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-systemexe-viet-nam-3483,Hồ Chí Minh,SystemEXE
Chứng khoán,https://1900.com.vn/tong-quan/cong-ty-co-phan-chung-khoan-dsc-1317,Hà Nội,Chứng khoán DSC
Giáo dục / Đào tạo,https://1900.com.vn/tong-quan/cong-ty-co-phan-dau-tu-giao-duc-va-phat-trien-nguon-luc-quoc-te-pasal-ho-chi-minh-1918,Hồ Chí Minh,Pasal
Trung tâm Ngoại ngữ,https://1900.com.vn/tong-quan/cong-ty-tnhh-dirox-2032,Hồ Chí Minh,Dirox
Ngành khác,https://1900.com.vn/tong-quan/cong-ty-tnhh-devblock-viet-nam-11088,Hà Nội,DEVBLOCK VIỆT NAM
Y tế / Chăm sóc sức khỏe,https://1900.com.vn/tong-quan/cong-ty-co-phan-cong-nghe-bookingcare-7687,Hà Nội,Công Ty Cổ Phần Công Nghệ Bookingcare
Ngành khác,https://1900.com.vn/tong-quan/cong-ty-tnhh-officience-2019,Hồ Chí Minh,Officience
Sản xuất / Vận hành sản xuất,https://1900.com.vn/tong-quan/cong-ty-tnhh-ortholite-viet-nam-3305,Bình Dương,Ortholite Việt Nam
Giải trí,https://1900.com.vn/tong-quan/shelby-global-5120,Hồ Chí Minh,Shelby Global
Bán hàng/ Kinh doanh,https://1900.com.vn/tong-quan/cong-ty-co-phan-neos-viet-nam-3373,Hồ Chí Minh,Neos Việt Nam
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-co-phan-cong-nghe-ftech-viet-nam-4006,Hà Nội,FTECH AI
Tài chính / Đầu tư,https://1900.com.vn/tong-quan/cong-ty-tnhh-thuong-mai-va-dau-tu-big-holding-2688,Hà Nội,BIG HOLDING
Tiếp thị / Marketing,https://1900.com.vn/tong-quan/dialectica-15994,Hồ Chí Minh,Dialectica
Thực phẩm & Đồ uống,https://1900.com.vn/tong-quan/cong-ty-tnhh-co-hoi-va-thach-thuc-2676,Hồ Chí Minh,CAC Viet Nam
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-tnhh-dien-tu-meiko-viet-nam-mkvc-5177,Hà Nội,Điện Tử Meiko
Điện / Điện tử / Điện lạnh,https://1900.com.vn/tong-quan/cong-ty-co-phan-cong-nghe-nanosoft-12429,Hà Nội,CÔNG NGHỆ NANOSOFT
Sản xuất / Vận hành sản xuất,https://1900.com.vn/tong-quan/cong-ty-tnhh-hoa-don-dien-tu-m-invoice-7224,Hà Nội,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE
Điện / Điện tử / Điện lạnh,https://1900.com.vn/tong-quan/cong-ty-tnhh-kmw-viet-nam-11313,Hà Nam,KMW Việt Nam
Nhân sự,https://1900.com.vn/tong-quan/cong-ty-co-phan-golden-careers-viet-nam-7270,Hà Nội,Công ty cổ phần Golden Careers Việt Nam
Thực phẩm & Đồ uống,https://1900.com.vn/tong-quan/cong-ty-co-phan-mondelez-kinh-do-viet-nam-973,Bình Dương,MONDELEZ KINH ĐÔ
Bán hàng/ Kinh doanh,https://1900.com.vn/tong-quan/cong-ty-tnhh-thuong-mai-kk-toan-cau-2005,Hà Nội,Thương Mại K&K Toàn Cầu
Bán hàng/ Kinh doanh,https://1900.com.vn/tong-quan/cong-ty-co-phan-oceansoft-viet-nam-15012,Hà Nội,Oceansoft Việt Nam
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-co-phan-tap-doan-gco-6947,Hà Nội,GCO GROUP
Tư vấn,https://1900.com.vn/tong-quan/cong-ty-tnhh-dich-vu-tu-van-kinh-doanh-viva-12387,Hồ Chí Minh,Tư Vấn Kinh Doanh VIVA
Quảng cáo / Đối ngoại / Truyền Thông,https://1900.com.vn/tong-quan/cong-ty-co-phan-quang-cao-redder-asia-2224,Hồ Chí Minh,Dentsu Redder
Thương mại điện tử,https://1900.com.vn/tong-quan/cong-ty-tnhh-imarket-vietnam-12402,Hồ Chí Minh,Imarket Vietnam
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-tnhh-dau-tu-va-phat-trien-phan-mem-bac-ha-16712,Hà Nội,Đầu Tư Và Phát Triển Phần Mềm Bắc Hà
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-co-phan-cong-nghe-phuc-binh-4845,Hà Nội,Công Nghệ Phúc Bình
Bán hàng/ Kinh doanh,https://1900.com.vn/tong-quan/cong-ty-co-phan-cong-nghe-thong-tin-hmd-10660,Hồ Chí Minh,Công ty Cổ phần Công nghệ Thông tin HMD
Y tế / Chăm sóc sức khỏe,https://1900.com.vn/tong-quan/cong-ty-tnhh-duoc-pham-gsk-viet-nam-488,Hồ Chí Minh,GSK
Dệt may / Da giày / Thời trang,https://1900.com.vn/tong-quan/cong-ty-co-phan-dau-tu-va-phat-trien-vultex-viet-nam-12819,Hà Nội,Đầu Tư Và Phát Triển Vultex Việt Nam
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-co-phan-phan-mem-3s-6090,Hà Nội,Phần Mềm 3s - 3S Software
Xây dựng,https://1900.com.vn/tong-quan/cong-ty-co-phan-xay-dung-va-noi-that-amavi-617,Hồ Chí Minh,Xây dựng và Nội thất AMAVI
Bán hàng/ Kinh doanh,https://1900.com.vn/tong-quan/cong-ty-co-phan-groupe-seb-viet-nam-3764,Bình Dương,GROUPE SEB Việt Nam
